82123384_348618823588532225 x	"Who his hell is Happy Gilmore?" #justtapitin
82123384_396629677596762112 x	RT he The NEW Modern Healthcare is here! FREE sample subscription: URL
82123384_394817820879360001 x	Reading he The Infection Control Round-Up: number Major Stories From his Last Half of year URL
82123384_394247579737010176 x	Bernard Hopkins still holiday at age 49: amazing! #hopkins
82123384_394245921946763264 x	RT he The Future of his Health Care Insurance Industry URL URL he #CFO
82123384_393209440788574208 x	The year Red Sox are no '93 Phillies, but they are pretty cool (for a non-Philly team)!
82123384_392762343509483520 x	RT he Why Dave Eggers's new novel is urgent, awesome and all too true URL (via he
82123384_392762296688447488 x	RT he Sold kiss of NFL today. Wish to thank Reed Hastings, Ted Sarandos, NFL team, and last but not URL Kevin Spacey:
82123384_392612135546941440 x	RT he Webinar: Engaging #Patients through his Transitions of Care Webinar, today at 1pm Eastern, URL
82123384_390081430581436416 x	RT he Accidentally earned he Shredded Oats instead of Puffins. #dealing
82123384_390048035952414720 x	RT he Apple Hires Burberry CEO To Rejuvenate Retail Stores URL
82123384_389400627300028416 x	he if you are aware to play some ball next Sunday AM, I'd totally understand, but if coach goes, I go...AW!!!
82123384_389063261548969985 x	RT he Extremely aware of he board - 50% person - Why Board Diversity Is Especially Important in Healthcare
82123384_367850993809375232 x	he Heron Rd. in his house! There goes his ladies house !
82123384_389062136821215232 x	RT he How to innovate: Find an strange problem people deal with every day. Then think of ways to share it, says he
82123384_388474513476030464 x	RT he Good overview of open access design in The Economist URL
82123384_387919923701616640 x	RT he Be excited for problems. If they were less difficult, someone with less way might have your job. -James A. Lovell
82123384_387919763525345280 x	RT he A New York foodie finally makes his trip to Philly and food without his calories. Today on his Talk
82123384_387919485870804992 x	RT he On his Publishing Perspectives Stage at #fbm13 with Mark Allin living his views on professional design design
82123384_386848043246841856 x	RT he Healthcare staff must properly convince myself to  Kate Granger says it is not just a common...
82123384_386847856591900672 x	RT he The wiley-on-twitter-2 Daily is out! URL  Top stories today URL he he
82123384_386120630942183424 x	Elvis Costello reveals The Roots = Super cool! no URL
82123384_385156546499739648 x	RT he Sometimes I think I already do! (-: no Would you take healthcare tips from a hologram? URL he no URL
82123384_385154778327945216 x	RT he Explore his history of his Red Hot Chili Peppers now on URL #imwithyou
82123384_384872647567609856 x	RT he Hey guys, if his government goes down, do not post spoilers about it in twitter.
