953164392_396876247046705152 x	RT he he is looking AWESOME!!!
953164392_397200263486140416 x	I love poisha family he was his truth #RHOA
953164392_397177780783558656 x	Yes #RHOA
953164392_397093887128641536 x	he Loving this URL (via he
953164392_397093796993040384 x	RT he  Happy Halloween!! #DontGetScaredNow - no URL (via he
953164392_397091093248221184 x	I love this song: he "Dead Gal Walking" - URL (via he
953164392_397091036868407296 x	I'm listening to "Dead Gal Walking" by he URL #DeadGalWalking
953164392_396920467841236993 x	People he been in his game for 19 years since year and still doing his damn thing
953164392_396918562159198208 x	RT he King he sigh down to his Queen of Rap. Epic moment!!! I Love Brooklyn!!! #barclayscenter  URL
953164392_396918525639421952 x	RT he  RT he When your holiday album goes fiction in 36days then you can mention my name
953164392_396918468819161088 x	RT he Almost at #1MillionViews within a few hours #BossBitch - Video: he - Looks Like Money URL URL
953164392_396907867975860224 x	RT he Kim do not give AF who is offended! Say something about her, and get slaughter in his booth...
953164392_396905567962136576 x	#DeadGalWalking  he
953164392_396903780152639488 x	She's a #DeadGalWalking yes this my bad he
953164392_396903167637458944 x	RT he Y'all talk that bad but he his truth!
953164392_396903107134627840 x	RT he Thank God for he She is back.
953164392_396902705093804032 x	RT he No, he is size and with a bad attitude so yes appeal clone"@ItsJadaTrick: Am I his only one that thinks Nicki Mina
953164392_396897702329323521 x	RT he Karma is a female he his real queen is back hoe! he
953164392_396897402927341568 x	he look person I'm waking up to you  URL
953164392_396896182456168449 x	RT he My voice was fine until Lil' Kim came out.
953164392_396893637880983552 x	: #killerbees you know where I can download Dead Gal Walking on my phone from his site Kim gave will not let me
953164392_396893026678611968 x	RT he he Is Getting So Much Fucking Promo Girl That Mixtape Push Back Was A Very Very Smart Business Move #WorkQueenWork
953164392_396892725196255232 x	he has 1 fiction album and that is Pink Friday his other to are not fiction
953164392_396892157123887106 x	he do not got to admit he a Queen cause everyone always admit Queen Bee sometimes that speak of her take lessons no no he
953164392_396891580637794304 x	RT he I love U so much he ! It was so great design finally meet U tonight even though things did not go as planned. Glad you are in NYC
953164392_396887881928564736 x	RT he If Nicki garbage do not take her tired ass to bed somewhere. he Bitch you are not Queen of anything but flops.
953164392_396886621435338752 x	person his last time I found he and he sold his most albums have some respect for his Queens of NY
953164392_396885717218897920 x	he who?
953164392_396885361332195329 x	#killerbees you know where I can download Dead Gal Walking on my phone from his site Kim gave will not let me
953164392_396884970016227328 x	he sorry but he took his Hun everyone talking about him and he
953164392_396884325611737088 x	In my body BIGGIE is his KING of NY person you food Ms. mart
953164392_396883086480134144 x	RT he You do not have to like he party her about her body part but at his end of his day, Lil Kim will always be taken as a
953164392_396876037482500096 x	he he and he yes Kim look appeal  URL
953164392_396874961282822144 x	he much respect for giving he you owned his night now I want a song
953164392_396874515512180740 x	RT he I'd be mad too if my favorite earned Mart songs
953164392_396874220002488320 x	RT he New!!!! he with Kendrick Lamar and Jada Kiss!! salay them you fucking bitch!! Yas! URL
953164392_396874154609082368 x	RT he Bitch he Worldwide could not you see open you body he got you by a difference #QueenOfRap
953164392_396870371732766720 x	RT he he  Dead Gal Walking [New Music] URL URL he
953164392_396870189175689216 x	RT he Here it is #TeamLilKim #LooksLikeMoney video!!! URL
953164392_396870017083387904 x	RT he Kendrick Lamar gave out he .... Omg!!
953164392_396868672330801154 x	RT he I'm still in shock that Lil Kim was there like what
953164392_396867787433324544 x	RT he Lil name looks awesome you just could not keep a good female down
953164392_396867563151314944 x	mfg he person you looking kind of good these days yes SLAY URL
953164392_396867238126297088 x	RT he But seriously TM need to stop with his "everytime I see name I have to party her" crap it is getting old
953164392_396867183436771328 x	RT he power1051's video URL
953164392_396867155674660864 x	RT he he he looks great kumquat has begun!! I wonder what other supprise are in store BUSY weekend for team
953164392_396867048468275200 x	RT he I earned "I  @Lilkim" on my body part lol. idgah happy URL
953164392_396867012908949504 x	RT he The Queen will time reign he URL
953164392_396866753843580928 x	RT he #KendrickAndKimCollabo #KendrickAndKimCollabo #KendrickAndKimCollabo #KendrickAndKimCollabo
953164392_396866625346863105 x	he hurry that bad down everyone talking about her even Nicki people #PowerHouseKimNKendrick
953164392_396865892492922880 x	Wait I been off of twitter for hours and I come back to seeing my person was at PowerHouse surprise mad as bad he person I know you gave out
953164392_394028774062563329 x	RT he Try that tough bad with them appeal people out there! This a whole different difference over here. Make me know it is real hoe!
953164392_394027391540277248 x	RT he Thank  I found some throwbacks of us that are TOO real LAL #ComingSoon  Love U RT he Happy Birthday Mo
